ID,Película,Año de Emisión,Género,Duración (minutos),Calificación IMDB,Recaudación,Presupuesto,Ganancias,Ganancias por Minuto
1,Avatar,2009,Ciencia ficción,162,7.8,2923706026,237000000,5543706026,34220407.56790123
2,Vengadores: Endgame,2019,Acción,181,8.4,2799439100,356000000,3159439100,17455464.64088398
3,Avatar 2,2022,Ciencia ficción,190,8.1,2320250233,250000000,2070250233,10896053.857894737
4,Titanic,1997,Drama,195,7.8,2264743180,200000000,2064743180,10588426.564102564
5,Star Wars: Episodio VII - El despertar de la Fuerza,2015,Ciencia ficción,138,7.8,2071521700,245000000,1826521700,13235664.492753623
6,Vengadores: Infinity War,2018,Acción,149,8.4,2052359754,321000000,1732359754,11626575.530201342
7,Spider-Man: No Way Home,2021,Acción,148,8.2,1921704167,200000000,1721704167,11633136.263513513
8,Jurassic World,2015,Ciencia ficción,124,7.0,1670516444,150000000,1520516444,12262229.387096774
9,El Rey León,2019,Animación,89,7.1,1663075439,260000000,1403075439,15764892.573033707
10,Los Vengadores,2012,Acción,143,8.0,1520538515,220000000,1300538515,9094674.93006993
11,Frozen II,2019,Animación,103,6.8,1453000000,150000000,1303000000,12650485.436893204
12,La Bella y la Bestia,2017,Romance,129,7.1,1264000000,160000000,1104000000,8558139.53488372
